Event Status,Time,Half,Home Score,Away Score,Home Handicap,Home Handicap Odds,Away Handicap,Away Handicap Odds,Home Handicap 2,Home Handicap 2 Odds,Away Handicap 2,Away Handicap 2 Odds,Over/Under Line,Over Odds,Under Odds,Over/Under Line 2,Over Odds 2,Under Odds 2,1X2 Home,1X2 Draw,1X2 Away
UPCOMING,00:00:01,-,0,0,-0.75,0.89,0.75,0.97,-1.0,-0.85,1.0,0.73,3.25,0.95,0.9,3.5,-0.85,0.71,1.66,4.12,4.5
UPCOMING,09:30:48,-,0,0,-0.75,0.9,0.75,0.96,-1.0,-0.85,1.0,0.72,3.25,0.93,0.91,3.5,-0.87,0.72,1.67,4.12,4.33
UPCOMING,10:30:51,-,0,0,-0.75,0.91,0.75,0.95,-0.5,0.72,0.5,-0.85,3.25,0.93,0.91,3.5,-0.87,0.72,1.67,4.12,4.33
UPCOMING,13:31:07,-,0,0,-0.75,0.89,0.75,-0.99,-1.0,-0.86,1.0,0.76,3.25,0.93,0.95,3.5,-0.87,0.76,1.66,4.23,4.5
UPCOMING,21:01:42,-,0,0,-0.75,0.91,0.75,0.99,-1.0,-0.84,1.0,0.75,3.25,0.88,1.0,3.5,-0.92,0.79,1.68,4.23,4.33
UPCOMING,03:32:18,-,0,0,-0.75,0.89,0.75,-0.99,-1.0,-0.86,1.0,0.76,3.25,0.93,0.95,3.5,-0.87,0.76,1.66,4.23,4.5
UPCOMING,04:02:19,-,0,0,-0.75,0.88,0.75,-0.98,-1.0,-0.87,1.0,0.77,3.25,0.93,0.95,3.5,-0.87,0.76,1.66,4.23,4.57
UPCOMING,05:02:22,-,0,0,-0.75,0.85,0.75,-0.93,-1.0,-0.92,1.0,0.81,3.25,0.87,-0.98,3.5,-0.93,0.81,1.63,4.33,4.57
UPCOMING,06:02:32,-,0,0,-1.0,-0.94,1.0,0.85,-0.75,0.81,0.75,-0.92,3.5,-0.96,0.85,3.25,0.82,-0.94,1.61,4.33,4.7
UPCOMING,07:02:36,-,0,0,-1.0,-0.93,1.0,0.84,-0.75,0.83,0.75,-0.93,3.5,-0.98,0.87,3.25,0.8,-0.92,1.62,4.33,4.57
UPCOMING,07:32:40,-,0,0,-1.0,-0.93,1.0,0.85,-0.75,0.82,0.75,-0.93,3.5,-0.99,0.88,3.25,0.79,-0.91,1.62,4.33,4.7
UPCOMING,09:02:50,-,0,0,-1.0,-0.94,1.0,0.86,-0.75,0.81,0.75,-0.92,3.5,-0.98,0.87,3.25,0.8,-0.92,1.61,4.33,4.7
UPCOMING,09:32:55,-,0,0,-1.0,-0.99,1.0,0.89,-0.75,0.78,0.75,-0.88,3.5,0.97,0.91,3.25,0.76,-0.88,1.59,4.5,4.85
UPCOMING,10:02:58,-,0,0,-1.0,0.97,1.0,0.93,-0.75,0.75,0.75,-0.85,3.5,0.93,0.95,3.75,-0.86,0.75,1.57,4.57,4.85
UPCOMING_30MIN,10:30:03,-,0,0,-1.0,0.94,1.0,0.96,-1.25,-0.84,1.25,0.75,3.5,0.88,-0.99,3.75,-0.93,0.8,1.56,4.57,5.0
UPCOMING_30MIN,10:38:16,-,0,0,-1.0,0.95,1.0,0.95,-0.75,0.74,0.75,-0.84,3.5,0.85,-0.96,3.75,-0.96,0.83,1.56,4.7,4.85
UPCOMING_30MIN,10:39:18,-,0,0,-1.0,0.99,1.0,0.91,-0.75,0.77,0.75,-0.87,3.5,0.85,-0.96,3.75,-0.96,0.83,1.59,4.57,4.7
UPCOMING_30MIN,10:40:19,-,0,0,-1.0,0.98,1.0,0.92,-0.75,0.76,0.75,-0.86,3.5,0.85,-0.96,3.75,-0.96,0.83,1.58,4.57,4.7
UPCOMING_30MIN,10:42:23,-,0,0,-1.0,0.99,1.0,0.91,-0.75,0.77,0.75,-0.87,3.5,0.85,-0.96,3.75,-0.96,0.83,1.59,4.57,4.7
UPCOMING_30MIN,10:43:25,-,0,0,-1.0,-0.98,1.0,0.88,-0.75,0.79,0.75,-0.89,3.5,0.86,-0.97,3.75,-0.94,0.82,1.6,4.57,4.57
UPCOMING_30MIN,10:44:26,-,0,0,-1.0,-0.95,1.0,0.87,-0.75,0.81,0.75,-0.91,3.5,0.86,-0.97,3.75,-0.94,0.82,1.61,4.5,4.57
UPCOMING_30MIN,10:47:31,-,0,0,-1.0,-0.94,1.0,0.86,-0.75,0.81,0.75,-0.92,3.5,0.89,1.0,3.75,-0.92,0.8,1.62,4.5,4.57
UPCOMING_30MIN,10:51:38,-,0,0,-1.0,-0.93,1.0,0.85,-0.75,0.82,0.75,-0.93,3.5,0.9,0.99,3.75,-0.91,0.79,1.62,4.5,4.5
